Student_ID,Subject,Study_Hours,Sleep_Hours,Attendance_Pct,Assignments_Completed,Daily_Consistency,Study_Days_Remaining,Previous_Marks,Final_Marks
1,Python Programming,1.7,6.8,85.0,82.1,4,23,65.3,62.8
1,DBMS,3.3,6.8,85.0,82.1,4,23,47.9,52.3
1,Data Analytics,6.1,6.8,85.0,82.1,4,23,91.6,79.2
1,Operating Systems,1.0,6.8,85.0,82.1,4,23,94.6,71.4
1,Algorithms,1.0,6.8,85.0,82.1,4,23,41.3,53.2
2,Python Programming,7.0,7.9,55.6,78.3,5,7,77.4,71.9
2,DBMS,4.2,7.9,55.6,78.3,5,7,40.7,55.0
2,Data Analytics,3.7,7.9,55.6,78.3,5,7,40.9,56.4
2,Operating Systems,2.6,7.9,55.6,78.3,5,7,53.3,58.9
2,Algorithms,6.8,7.9,55.6,78.3,5,7,49.5,73.3
3,Python Programming,2.3,6.4,68.1,78.1,5,8,93.3,56.4
3,DBMS,6.4,6.4,68.1,78.1,5,8,91.7,79.0
3,Data Analytics,7.5,6.4,68.1,78.1,5,8,44.9,69.2
3,Operating Systems,2.4,6.4,68.1,78.1,5,8,42.5,43.6
3,Algorithms,2.9,6.4,68.1,78.1,5,8,85.6,57.3
4,Python Programming,1.1,5.7,66.5,60.7,5,5,63.3,43.0
4,DBMS,3.8,5.7,66.5,60.7,5,5,56.1,58.5
4,Data Analytics,5.2,5.7,66.5,60.7,5,5,90.9,73.6
4,Operating Systems,5.6,5.7,66.5,60.7,5,5,90.3,70.3
4,Algorithms,1.7,5.7,66.5,60.7,5,5,60.4,54.8
5,Python Programming,3.7,8.9,92.1,87.5,5,5,93.4,79.4
5,DBMS,6.9,8.9,92.1,87.5,5,5,79.7,78.8
5,Data Analytics,1.3,8.9,92.1,87.5,5,5,79.1,61.5
5,Operating Systems,1.8,8.9,92.1,87.5,5,5,64.2,62.7
5,Algorithms,4.3,8.9,92.1,87.5,5,5,71.0,71.3
6,Python Programming,1.5,7.6,72.2,53.7,6,17,55.9,51.7
6,DBMS,2.1,7.6,72.2,53.7,6,17,91.1,67.4
6,Data Analytics,7.1,7.6,72.2,53.7,6,17,84.2,83.3
6,Operating Systems,2.3,7.6,72.2,53.7,6,17,89.1,71.7
6,Algorithms,7.3,7.6,72.2,53.7,6,17,57.5,69.6
7,Python Programming,3.9,6.4,77.4,61.9,7,31,52.2,55.6
7,DBMS,1.8,6.4,77.4,61.9,7,31,58.6,53.3
7,Data Analytics,4.6,6.4,77.4,61.9,7,31,78.7,71.6
7,Operating Systems,3.5,6.4,77.4,61.9,7,31,93.4,61.8
7,Algorithms,3.0,6.4,77.4,61.9,7,31,42.0,51.8
8,Python Programming,2.7,10.0,80.6,73.8,7,5,48.0,59.3
8,DBMS,4.4,10.0,80.6,73.8,7,5,94.2,85.6
8,Data Analytics,6.3,10.0,80.6,73.8,7,5,53.1,67.4
8,Operating Systems,6.1,10.0,80.6,73.8,7,5,60.2,82.0
8,Algorithms,4.8,10.0,80.6,73.8,7,5,45.0,72.7
9,Python Programming,1.1,8.4,75.1,86.8,7,40,68.2,63.9
9,DBMS,2.6,8.4,75.1,86.8,7,40,75.5,71.5
9,Data Analytics,3.7,8.4,75.1,86.8,7,40,91.5,73.2
9,Operating Systems,2.0,8.4,75.1,86.8,7,40,58.8,59.4
9,Algorithms,5.6,8.4,75.1,86.8,7,40,84.9,83.9
10,Python Programming,3.0,10.0,93.6,90.0,3,13,78.5,70.6
10,DBMS,6.9,10.0,93.6,90.0,3,13,87.1,89.2
10,Data Analytics,7.0,10.0,93.6,90.0,3,13,91.5,85.3
10,Operating Systems,6.5,10.0,93.6,90.0,3,13,76.8,70.5
10,Algorithms,7.6,10.0,93.6,90.0,3,13,93.6,94.8
11,Python Programming,6.0,5.4,70.1,90.7,3,40,53.0,67.3
11,DBMS,3.3,5.4,70.1,90.7,3,40,81.1,67.3
11,Data Analytics,5.6,5.4,70.1,90.7,3,40,71.3,68.0
11,Operating Systems,1.7,5.4,70.1,90.7,3,40,60.2,45.9
11,Algorithms,7.8,5.4,70.1,90.7,3,40,61.6,65.0
12,Python Programming,2.4,8.2,82.8,94.5,3,37,79.7,58.7
12,DBMS,3.0,8.2,82.8,94.5,3,37,41.3,48.4
12,Data Analytics,7.6,8.2,82.8,94.5,3,37,92.5,87.9
12,Operating Systems,7.4,8.2,82.8,94.5,3,37,60.4,76.0
12,Algorithms,7.7,8.2,82.8,94.5,3,37,86.9,83.5
13,Python Programming,3.8,4.7,71.5,61.1,2,29,86.4,56.5
13,DBMS,7.5,4.7,71.5,61.1,2,29,43.9,58.5
13,Data Analytics,3.5,4.7,71.5,61.1,2,29,54.0,41.4
13,Operating Systems,3.1,4.7,71.5,61.1,2,29,57.7,49.2
13,Algorithms,3.1,4.7,71.5,61.1,2,29,63.1,57.7
14,Python Programming,5.5,4.8,86.6,82.7,5,24,78.6,90.1
14,DBMS,6.6,4.8,86.6,82.7,5,24,89.0,72.0
14,Data Analytics,1.7,4.8,86.6,82.7,5,24,71.8,49.6
14,Operating Systems,1.3,4.8,86.6,82.7,5,24,65.6,44.8
14,Algorithms,5.1,4.8,86.6,82.7,5,24,41.7,58.5
15,Python Programming,4.2,6.5,71.1,66.9,2,9,86.3,62.6
15,DBMS,2.4,6.5,71.1,66.9,2,9,62.6,41.2
15,Data Analytics,1.9,6.5,71.1,66.9,2,9,93.3,56.4
15,Operating Systems,6.0,6.5,71.1,66.9,2,9,42.3,42.2
15,Algorithms,6.2,6.5,71.1,66.9,2,9,53.8,43.4
16,Python Programming,2.7,6.0,97.8,70.0,2,38,45.2,45.6
16,DBMS,2.3,6.0,97.8,70.0,2,38,91.4,63.5
16,Data Analytics,5.6,6.0,97.8,70.0,2,38,64.0,73.7
16,Operating Systems,6.1,6.0,97.8,70.0,2,38,42.6,50.5
16,Algorithms,1.8,6.0,97.8,70.0,2,38,58.8,50.4
17,Python Programming,1.3,7.9,87.0,71.2,5,27,92.2,59.7
17,DBMS,7.2,7.9,87.0,71.2,5,27,54.3,86.3
17,Data Analytics,5.8,7.9,87.0,71.2,5,27,73.9,73.4
17,Operating Systems,7.6,7.9,87.0,71.2,5,27,91.9,86.4
17,Algorithms,6.6,7.9,87.0,71.2,5,27,77.2,81.2
18,Python Programming,6.7,7.3,69.7,85.3,6,7,75.8,77.7
18,DBMS,2.4,7.3,69.7,85.3,6,7,55.1,54.5
18,Data Analytics,1.3,7.3,69.7,85.3,6,7,74.0,54.2
18,Operating Systems,3.4,7.3,69.7,85.3,6,7,76.1,75.3
18,Algorithms,3.4,7.3,69.7,85.3,6,7,54.3,55.0
19,Python Programming,3.9,6.9,99.5,88.5,3,40,93.2,75.0
19,DBMS,4.8,6.9,99.5,88.5,3,40,63.3,75.0
19,Data Analytics,6.1,6.9,99.5,88.5,3,40,47.0,72.3
19,Operating Systems,2.8,6.9,99.5,88.5,3,40,71.9,63.6
19,Algorithms,2.7,6.9,99.5,88.5,3,40,77.4,69.7
20,Python Programming,3.2,8.2,71.4,75.2,7,29,89.3,77.7
20,DBMS,3.7,8.2,71.4,75.2,7,29,40.6,59.1
20,Data Analytics,7.7,8.2,71.4,75.2,7,29,71.5,79.7
20,Operating Systems,5.4,8.2,71.4,75.2,7,29,64.7,66.0
20,Algorithms,5.7,8.2,71.4,75.2,7,29,81.4,71.7
21,Python Programming,1.8,7.9,86.2,79.9,6,15,47.9,63.1
21,DBMS,6.3,7.9,86.2,79.9,6,15,74.0,75.2
21,Data Analytics,6.8,7.9,86.2,79.9,6,15,78.8,81.5
21,Operating Systems,1.6,7.9,86.2,79.9,6,15,44.7,58.7
21,Algorithms,7.6,7.9,86.2,79.9,6,15,94.2,85.9
22,Python Programming,2.7,9.0,73.4,79.7,4,31,58.2,65.7
22,DBMS,4.0,9.0,73.4,79.7,4,31,54.0,68.0
22,Data Analytics,6.2,9.0,73.4,79.7,4,31,82.2,67.6
22,Operating Systems,6.8,9.0,73.4,79.7,4,31,80.9,73.0
22,Algorithms,3.8,9.0,73.4,79.7,4,31,66.3,68.3
23,Python Programming,7.4,5.7,80.6,76.0,6,15,53.9,74.0
23,DBMS,5.9,5.7,80.6,76.0,6,15,44.1,58.8
23,Data Analytics,3.1,5.7,80.6,76.0,6,15,94.8,67.8
23,Operating Systems,5.9,5.7,80.6,76.0,6,15,61.1,69.0
23,Algorithms,7.7,5.7,80.6,76.0,6,15,43.2,67.3
24,Python Programming,3.7,6.6,71.2,62.4,6,30,52.6,53.0
24,DBMS,2.9,6.6,71.2,62.4,6,30,59.8,54.5
24,Data Analytics,1.2,6.6,71.2,62.4,6,30,55.4,41.1
24,Operating Systems,3.9,6.6,71.2,62.4,6,30,73.2,60.5
24,Algorithms,1.5,6.6,71.2,62.4,6,30,91.7,61.0
25,Python Programming,1.2,4.4,96.8,85.5,2,9,60.7,42.3
25,DBMS,6.7,4.4,96.8,85.5,2,9,94.3,72.7
25,Data Analytics,3.7,4.4,96.8,85.5,2,9,93.3,56.4
25,Operating Systems,6.9,4.4,96.8,85.5,2,9,86.1,56.7
25,Algorithms,2.9,4.4,96.8,85.5,2,9,43.1,37.4
26,Python Programming,6.1,7.5,82.6,75.1,6,41,81.6,77.8
26,DBMS,3.6,7.5,82.6,75.1,6,41,53.3,56.9
26,Data Analytics,2.9,7.5,82.6,75.1,6,41,51.4,53.5
26,Operating Systems,7.1,7.5,82.6,75.1,6,41,81.6,80.6
26,Algorithms,4.3,7.5,82.6,75.1,6,41,85.7,71.5
27,Python Programming,1.9,6.1,89.4,90.4,5,21,41.6,51.3
27,DBMS,6.3,6.1,89.4,90.4,5,21,74.1,70.2
27,Data Analytics,2.0,6.1,89.4,90.4,5,21,40.8,53.9
27,Operating Systems,3.5,6.1,89.4,90.4,5,21,72.4,60.1
27,Algorithms,7.3,6.1,89.4,90.4,5,21,59.2,62.6
28,Python Programming,7.6,7.1,95.0,78.3,5,21,48.1,60.6
28,DBMS,7.5,7.1,95.0,78.3,5,21,67.1,75.0
28,Data Analytics,7.9,7.1,95.0,78.3,5,21,67.1,69.3
28,Operating Systems,3.3,7.1,95.0,78.3,5,21,74.8,65.9
28,Algorithms,1.9,7.1,95.0,78.3,5,21,47.0,52.2
29,Python Programming,7.8,7.7,69.0,74.1,2,33,73.1,77.4
29,DBMS,2.6,7.7,69.0,74.1,2,33,85.2,54.8
29,Data Analytics,1.2,7.7,69.0,74.1,2,33,70.2,45.3
29,Operating Systems,4.7,7.7,69.0,74.1,2,33,59.6,52.5
29,Algorithms,1.6,7.7,69.0,74.1,2,33,66.5,45.9
30,Python Programming,2.3,10.0,81.2,87.8,4,39,51.5,55.1
30,DBMS,3.6,10.0,81.2,87.8,4,39,66.6,59.8
30,Data Analytics,4.2,10.0,81.2,87.8,4,39,81.1,81.0
30,Operating Systems,1.3,10.0,81.2,87.8,4,39,53.9,58.9
30,Algorithms,4.6,10.0,81.2,87.8,4,39,69.3,72.8
31,Python Programming,2.3,5.6,78.7,61.9,4,41,71.0,53.1
31,DBMS,6.9,5.6,78.7,61.9,4,41,44.9,51.1
31,Data Analytics,3.4,5.6,78.7,61.9,4,41,66.1,56.9
31,Operating Systems,3.5,5.6,78.7,61.9,4,41,75.7,72.4
31,Algorithms,6.2,5.6,78.7,61.9,4,41,70.7,62.7
32,Python Programming,5.3,10.0,94.8,61.9,3,30,53.4,56.9
32,DBMS,4.5,10.0,94.8,61.9,3,30,58.2,60.0
32,Data Analytics,4.4,10.0,94.8,61.9,3,30,86.8,66.5
32,Operating Systems,1.6,10.0,94.8,61.9,3,30,84.3,64.4
32,Algorithms,7.4,10.0,94.8,61.9,3,30,40.3,70.1
33,Python Programming,4.7,7.7,79.9,82.9,7,19,66.2,71.8
33,DBMS,6.9,7.7,79.9,82.9,7,19,51.3,75.3
33,Data Analytics,4.7,7.7,79.9,82.9,7,19,78.9,71.1
33,Operating Systems,6.4,7.7,79.9,82.9,7,19,44.8,72.1
33,Algorithms,3.2,7.7,79.9,82.9,7,19,72.7,68.5
34,Python Programming,2.0,4.0,72.5,90.1,6,5,40.1,43.9
34,DBMS,1.8,4.0,72.5,90.1,6,5,66.0,61.7
34,Data Analytics,1.7,4.0,72.5,90.1,6,5,86.8,64.6
34,Operating Systems,6.2,4.0,72.5,90.1,6,5,62.5,64.7
34,Algorithms,7.5,4.0,72.5,90.1,6,5,79.7,71.0
35,Python Programming,2.6,8.0,85.3,70.2,5,9,74.9,62.1
35,DBMS,7.4,8.0,85.3,70.2,5,9,57.4,80.5
35,Data Analytics,4.2,8.0,85.3,70.2,5,9,79.3,74.1
35,Operating Systems,7.3,8.0,85.3,70.2,5,9,74.3,65.9
35,Algorithms,5.0,8.0,85.3,70.2,5,9,59.5,73.0
36,Python Programming,7.6,4.0,86.9,78.5,6,10,74.5,79.2
36,DBMS,3.3,4.0,86.9,78.5,6,10,47.7,55.6
36,Data Analytics,4.7,4.0,86.9,78.5,6,10,89.2,78.0
36,Operating Systems,6.5,4.0,86.9,78.5,6,10,48.3,57.4
36,Algorithms,6.2,4.0,86.9,78.5,6,10,41.8,55.6
37,Python Programming,1.8,7.6,95.1,68.9,4,17,86.6,65.3
37,DBMS,1.9,7.6,95.1,68.9,4,17,61.9,53.4
37,Data Analytics,2.6,7.6,95.1,68.9,4,17,79.7,65.8
37,Operating Systems,6.0,7.6,95.1,68.9,4,17,75.3,74.7
37,Algorithms,2.8,7.6,95.1,68.9,4,17,59.0,66.7
38,Python Programming,2.8,9.2,62.2,77.7,3,29,79.9,76.8
38,DBMS,5.2,9.2,62.2,77.7,3,29,45.6,55.8
38,Data Analytics,1.5,9.2,62.2,77.7,3,29,44.3,53.8
38,Operating Systems,1.7,9.2,62.2,77.7,3,29,86.2,59.4
38,Algorithms,2.3,9.2,62.2,77.7,3,29,86.1,61.8
39,Python Programming,6.2,5.4,67.7,49.6,4,13,51.3,63.4
39,DBMS,6.5,5.4,67.7,49.6,4,13,73.2,63.3
39,Data Analytics,7.0,5.4,67.7,49.6,4,13,90.8,67.3
39,Operating Systems,4.3,5.4,67.7,49.6,4,13,66.4,56.2
39,Algorithms,1.2,5.4,67.7,49.6,4,13,90.2,58.3
40,Python Programming,5.1,4.7,84.7,87.1,5,33,74.8,67.8
40,DBMS,1.1,4.7,84.7,87.1,5,33,76.5,55.8
40,Data Analytics,1.6,4.7,84.7,87.1,5,33,94.8,59.5
40,Operating Systems,4.5,4.7,84.7,87.1,5,33,72.7,66.1
40,Algorithms,2.5,4.7,84.7,87.1,5,33,89.4,65.8
41,Python Programming,1.5,6.2,74.3,91.3,6,23,82.7,61.9
41,DBMS,4.2,6.2,74.3,91.3,6,23,68.8,56.7
41,Data Analytics,4.9,6.2,74.3,91.3,6,23,48.5,55.9
41,Operating Systems,2.3,6.2,74.3,91.3,6,23,87.4,67.1
41,Algorithms,2.9,6.2,74.3,91.3,6,23,75.4,68.1
42,Python Programming,2.6,6.9,76.4,93.3,5,7,77.0,54.4
42,DBMS,1.1,6.9,76.4,93.3,5,7,45.7,47.2
42,Data Analytics,5.6,6.9,76.4,93.3,5,7,53.1,68.3
42,Operating Systems,1.7,6.9,76.4,93.3,5,7,53.4,57.8
42,Algorithms,6.8,6.9,76.4,93.3,5,7,61.8,74.7
43,Python Programming,7.2,7.9,69.2,79.9,3,22,85.0,71.4
43,DBMS,3.4,7.9,69.2,79.9,3,22,54.3,62.1
43,Data Analytics,2.9,7.9,69.2,79.9,3,22,74.3,52.2
43,Operating Systems,3.9,7.9,69.2,79.9,3,22,70.4,53.9
43,Algorithms,7.6,7.9,69.2,79.9,3,22,82.0,75.1
44,Python Programming,4.8,7.0,89.7,100.0,2,13,74.8,55.1
44,DBMS,2.8,7.0,89.7,100.0,2,13,47.7,47.1
44,Data Analytics,2.9,7.0,89.7,100.0,2,13,41.0,52.0
44,Operating Systems,7.4,7.0,89.7,100.0,2,13,46.5,58.7
44,Algorithms,4.9,7.0,89.7,100.0,2,13,75.8,72.4
45,Python Programming,7.1,7.8,75.3,68.6,3,35,72.9,68.6
45,DBMS,5.2,7.8,75.3,68.6,3,35,76.6,58.2
45,Data Analytics,4.6,7.8,75.3,68.6,3,35,42.6,47.3
45,Operating Systems,2.2,7.8,75.3,68.6,3,35,80.6,60.8
45,Algorithms,2.7,7.8,75.3,68.6,3,35,61.4,50.8
46,Python Programming,3.8,5.0,70.8,86.2,2,38,92.5,72.7
46,DBMS,1.9,5.0,70.8,86.2,2,38,66.6,52.0
46,Data Analytics,2.1,5.0,70.8,86.2,2,38,86.3,49.4
46,Operating Systems,6.9,5.0,70.8,86.2,2,38,92.5,76.4
46,Algorithms,4.3,5.0,70.8,86.2,2,38,58.9,49.7
47,Python Programming,1.5,4.3,69.5,65.6,6,43,44.3,52.4
47,DBMS,1.0,4.3,69.5,65.6,6,43,93.2,63.8
47,Data Analytics,7.7,4.3,69.5,65.6,6,43,83.5,72.6
47,Operating Systems,5.8,4.3,69.5,65.6,6,43,68.7,68.2
47,Algorithms,6.3,4.3,69.5,65.6,6,43,79.8,76.5
48,Python Programming,1.4,7.0,80.4,52.1,3,30,76.8,52.7
48,DBMS,1.3,7.0,80.4,52.1,3,30,72.4,41.4
48,Data Analytics,1.8,7.0,80.4,52.1,3,30,80.2,54.0
48,Operating Systems,2.3,7.0,80.4,52.1,3,30,46.3,51.8
48,Algorithms,6.2,7.0,80.4,52.1,3,30,43.0,53.7
49,Python Programming,7.2,4.0,93.6,55.9,2,38,69.2,70.6
49,DBMS,4.1,4.0,93.6,55.9,2,38,62.2,58.5
49,Data Analytics,4.8,4.0,93.6,55.9,2,38,76.4,60.5
49,Operating Systems,6.2,4.0,93.6,55.9,2,38,68.6,65.4
49,Algorithms,3.9,4.0,93.6,55.9,2,38,65.4,51.3
50,Python Programming,7.1,5.2,75.6,74.6,4,20,94.1,75.0
50,DBMS,6.4,5.2,75.6,74.6,4,20,63.0,72.7
50,Data Analytics,2.7,5.2,75.6,74.6,4,20,46.1,45.2
50,Operating Systems,3.5,5.2,75.6,74.6,4,20,55.8,48.6
50,Algorithms,1.3,5.2,75.6,74.6,4,20,41.0,38.0
51,Python Programming,6.5,7.4,79.7,60.7,2,41,44.9,55.9
51,DBMS,3.9,7.4,79.7,60.7,2,41,88.4,64.5
51,Data Analytics,5.3,7.4,79.7,60.7,2,41,49.2,58.6
51,Operating Systems,7.9,7.4,79.7,60.7,2,41,52.7,65.1
51,Algorithms,5.3,7.4,79.7,60.7,2,41,68.2,64.3
52,Python Programming,7.2,6.2,73.6,82.0,3,27,91.0,80.5
52,DBMS,8.0,6.2,73.6,82.0,3,27,49.6,72.9
52,Data Analytics,5.9,6.2,73.6,82.0,3,27,48.5,56.3
52,Operating Systems,6.7,6.2,73.6,82.0,3,27,52.3,63.9
52,Algorithms,5.2,6.2,73.6,82.0,3,27,71.9,57.7
53,Python Programming,4.9,6.4,73.9,74.0,2,29,44.8,51.6
53,DBMS,3.9,6.4,73.9,74.0,2,29,60.5,59.4
53,Data Analytics,4.5,6.4,73.9,74.0,2,29,44.5,46.4
53,Operating Systems,2.5,6.4,73.9,74.0,2,29,77.6,39.4
53,Algorithms,5.1,6.4,73.9,74.0,2,29,85.4,62.9
54,Python Programming,6.6,5.3,93.2,81.1,4,28,76.2,76.1
54,DBMS,7.0,5.3,93.2,81.1,4,28,87.7,82.2
54,Data Analytics,5.9,5.3,93.2,81.1,4,28,77.4,73.8
54,Operating Systems,5.3,5.3,93.2,81.1,4,28,81.4,70.0
54,Algorithms,3.3,5.3,93.2,81.1,4,28,80.9,65.4
55,Python Programming,3.0,6.4,83.7,62.8,7,6,73.9,68.1
55,DBMS,7.9,6.4,83.7,62.8,7,6,74.7,82.5
55,Data Analytics,4.8,6.4,83.7,62.8,7,6,82.9,65.6
55,Operating Systems,1.7,6.4,83.7,62.8,7,6,81.9,65.4
